,node_from,node_to
1268,28792,29604
1269,28792,1905
1270,28792,3540
1271,28792,9966
1272,28792,3050
1273,7614,12941
1274,7614,5611
1275,7614,7649
1276,31687,22101
1277,31687,3229
1278,31687,8542
1279,13404,13836
1280,13404,12534
1281,13404,23526
1282,13404,2280
1283,27586,21715
1284,27586,9385
1285,27586,28034
1286,27586,21613
1287,205,12941
1288,205,7649
1289,6388,13836
1290,6388,20915
1291,6388,5359
1292,11014,31018
1293,11014,26594
1294,11014,25877
1295,4094,22224
1296,4094,27353
1297,4094,62
1298,18514,23602
1299,11514,21715
1300,11514,31039
1301,11514,9385
1302,11514,21613
1303,11514,7600
1304,26594,31018
1305,26594,25877
1306,7698,4796
1307,7698,14108
1308,7698,15240
1309,28587,22224
1310,28587,18677
1311,1905,29604
1312,1905,17109
1313,1905,3050
1314,1905,5608
1315,5726,22101
1316,5726,10565
1317,7889,21277
1318,7889,13460
1319,7889,23870
1320,7889,7603
1321,11971,29083
1322,9661,11971
1323,9661,16840
1324,9661,29393
1325,16687,5342
1326,16687,19747
1327,16687,24022
1328,24128,22224
1329,24128,12956
1330,5860,29604
1331,5860,4053
1332,5860,5641
1333,2317,13836
1334,2317,17094
1335,2317,22827
1336,2317,20823
1337,1123,22815
1338,1123,23285
1339,1123,22906
1340,18466,22224
1341,18466,15181
1342,18466,15613
1343,3507,13045
1344,3507,2367
1345,3507,27587
1346,3507,13749
1347,12248,13045
1348,12248,18772
1349,12248,10692
1350,20915,13836
1351,20915,5359
1352,20915,7843
1353,23285,22815
1354,23285,22906
1355,23285,14625
1356,26419,5342
1357,26419,30602
1358,26419,29007
1359,3261,13045
1360,31738,22224
1361,31738,9768
1362,31738,31253
1363,31738,7933
1364,29167,13836
1365,29167,5359
1366,5023,23602
1367,5023,24465
1368,5729,28969
1369,5729,28034
1370,15181,22224
1371,18536,12941
1372,18536,23150
1373,18536,25683
1374,18274,12941
1375,18274,20088
1376,18274,29593
1377,30147,5342
1378,30147,22085
1379,30147,24022
1380,3229,22101
1381,3229,8542
1382,24414,12941
1383,24414,28402
1384,24414,25683
1385,24414,30817
1386,19627,13045
1387,19627,28430
1388,7690,13836
1389,7690,5359
1390,7690,22827
1391,3399,26307
1392,3399,19222
1393,3399,6433
1394,17851,18932
1395,17851,27449
1396,17851,792
1397,17851,23189
1398,17851,2845
1399,4256,23602
1400,4256,29570
1401,4256,21052
1402,4256,21035
1403,4256,12508
1404,21936,22224
1405,21936,400
1406,21936,7753
1407,21936,29214
1408,21936,32033
1409,28585,22224
1410,28585,8498
1411,28585,13873
1412,15329,26038
1413,15329,9538
1414,15329,1383
1415,13192,4796
1416,4483,5342
1417,13061,23602
1418,13061,24465
1419,11528,29083
1420,11528,22022
1421,19302,11528
1422,19302,17265
1423,19302,5680
1424,19302,11420
1425,19302,21882
1426,13460,21277
1427,13460,7603
1428,7929,24555
1429,7929,22891
1430,7929,4134
1431,7929,286
1432,29570,23602
1433,29570,21052
1434,29570,12508
1435,27724,588
1436,27724,10997
1437,27724,31489
1438,27724,17172
1439,28827,11528
1440,28827,20294
1441,28827,29988
1442,28827,3948
1443,28827,14642
1444,20833,588
1445,20833,22965
1446,20833,27357
1447,20833,25653
